,FW_flat,SC_variable,max_ramp,solar_cf
t1,1172,979,887.04,0
t2,1156,959,865.78,0
t3,1176,946,853.4,0
t4,1186,929,840.2,0
t5,1194,917,826.41,0
t6,1203,906,817.33,0
t7,1221,889,807.47,0
t8,1204,883,802.01,0
t9,1179,876,798.94,0
t10,1161,864,785.14,0
t11,1160,860,784.22,0
t12,1124,854,781.85,0
t13,1083,856,776.61,0
t14,1095,851,777.99,0
t15,1143,852,773.99,0
t16,1169,854,776.41,0
t17,1126,868,793.2,0
t18,1111,871,798.15,0
t19,1117,880,810.57,0
t20,1131,886,819.15,0
t21,1135,897,839.45,0
t22,1134,907,853.05,0
t23,1128,906,854.58,0
t24,1142,907,859.29,0
t25,1159,913,866.88,0
t26,1177,914,865.44,0
t27,1184,924,867.4,0
t28,1172,933,869.65,0
t29,1189,950,881.67,0
t30,1188,961,886.3,0
t31,1187,984,889.52,0
t32,1188,1002,896.98,0
t33,1190,1023,899.82,0.09
t34,1190,1043,916.94,0.09
t35,1191,1063,928.96,0.09
t36,1187,1092,946.47,0.09
t37,1203,1119,957.83,0.28
t38,1230,1142,965.04,0.28
t39,1232,1163,976.28,0.28
t40,1222,1192,982.39,0.28
t41,1221,1225,995.13,0.25
t42,1221,1249,1007.59,0.25
t43,1220,1279,1017.22,0.25
t44,1216,1301,1029.4,0.25
t45,1217,1329,1037.92,0.42
t46,1225,1355,1042.51,0.42
t47,1225,1376,1052.91,0.42
t48,1201,1403,1063.51,0.42
t49,1231,1425,1078.22,0.33
t50,1229,1447,1092.28,0.33
t51,1231,1473,1096.74,0.33
t52,1232,1489,1107.72,0.33
t53,1241,1511,1118.27,0.25
t54,1248,1529,1122.73,0.25
t55,1250,1539,1140.85,0.25
t56,1246,1557,1151.91,0.25
t57,1243,1566,1161.25,0.21
t58,1241,1577,1182.64,0.21
t59,1234,1579,1195.76,0.21
t60,1235,1584,1209.01,0.21
t61,1234,1579,1221.06,0.11
t62,1234,1588,1228.55,0.11
t63,1232,1596,1237.86,0.11
t64,1228,1601,1256.43,0.11
t65,1231,1600,1264.95,0.23
t66,1231,1612,1271.59,0.23
t67,1224,1623,1280.57,0.23
t68,1214,1630,1284.54,0.23
t69,1183,1632,1290.72,0
t70,1208,1628,1287.69,0
t71,1211,1619,1288.24,0
t72,1205,1614,1282.99,0
t73,1203,1598,1276.71,0
t74,1203,1577,1269.8,0
t75,1194,1559,1255.92,0
t76,1185,1533,1244.05,0
t77,1192,1517,1227.93,0
t78,1204,1504,1214.69,0
t79,1239,1494,1205.54,0
t80,1238,1476,1198.49,0
t81,1255,1461,1186.37,0
t82,1257,1443,1165.13,0
t83,1254,1414,1138.47,0
t84,1253,1392,1119.27,0
t85,1244,1364,1093.62,0
t86,1249,1337,1063.68,0
t87,1239,1309,1038.42,0
t88,1236,1279,1012.77,0
t89,1231,1252,986.31,0
t90,1236,1227,968.07,0
t91,1232,1195,946.61,0
t92,1221,1175,918.78,0
t93,1208,1153,905.68,0
t94,1204,1135,880.89,0
t95,1206,1114,864.23,0
t96,1204,1095,847.87,0
t97,1207,1079,830.58,0
t98,1206,1061,816.9,0
t99,1205,1046,804.05,0
t100,1206,1034,792.75,0
t101,1206,1017,782.94,0
t102,1201,1006,772.32,0
t103,1193,995,766.86,0
t104,1188,982,762.2,0
t105,1189,972,756.47,0
t106,1193,970,750.7,0
t107,1195,963,744.15,0
t108,1197,953,743.68,0
t109,1203,954,742.55,0
t110,1207,950,735.79,0
t111,1207,943,739.92,0
t112,1207,945,739.31,0
t113,1218,954,758.82,0
t114,1227,957,771.36,0
t115,1238,968,778.75,0
t116,1258,971,792.99,0
t117,1283,987,814.58,0
t118,1294,996,825.22,0
t119,1314,998,834.91,0
t120,1329,1002,837.09,0
t121,1342,1005,853.22,0
t122,1339,999,855.95,0
t123,1327,1006,863.69,0
t124,1308,1011,872.03,0
t125,1302,1017,888.09,0
t126,1301,1034,896.33,0
t127,1301,1048,908.43,0
t128,1298,1060,926.53,0
t129,1306,1083,944.37,0.32
