,FW_flat,SC_variable,max_ramp,solar_cf
t1,117.2,97.9,887.04,0
t2,115.6,95.9,865.78,0
t3,117.6,94.6,853.4,0
t4,118.6,92.9,840.2,0
t5,119.4,91.7,826.41,0
t6,120.3,90.6,817.33,0
t7,122.1,88.9,807.47,0
t8,120.4,88.3,802.01,0
t9,117.9,87.6,798.94,0
t10,116.1,86.4,785.14,0
t11,116,86,784.22,0
t12,112.4,85.4,781.85,0
t13,108.3,85.6,776.61,0
t14,109.5,85.1,777.99,0
t15,114.3,85.2,773.99,0
t16,116.9,85.4,776.41,0
t17,112.6,86.8,793.2,0
t18,111.1,87.1,798.15,0
t19,111.7,88,810.57,0
t20,113.1,88.6,819.15,0
t21,113.5,89.7,839.45,0
t22,113.4,90.7,853.05,0
t23,112.8,90.6,854.58,0
t24,114.2,90.7,859.29,0
t25,115.9,91.3,866.88,0
t26,117.7,91.4,865.44,0
t27,118.4,92.4,867.4,0
t28,117.2,93.3,869.65,0
t29,118.9,95,881.67,0
t30,118.8,96.1,886.3,0
t31,118.7,98.4,889.52,0
t32,118.8,100.2,896.98,0
t33,119,102.3,899.82,0.09
t34,119,104.3,916.94,0.09
t35,119.1,106.3,928.96,0.09
t36,118.7,109.2,946.47,0.09
t37,120.3,111.9,957.83,0.28
t38,123,114.2,965.04,0.28
t39,123.2,116.3,976.28,0.28
t40,122.2,119.2,982.39,0.28
t41,122.1,122.5,995.13,0.25
t42,122.1,124.9,1007.59,0.25
t43,122,127.9,1017.22,0.25
t44,121.6,130.1,1029.4,0.25
t45,121.7,132.9,1037.92,0.42
t46,122.5,135.5,1042.51,0.42
t47,122.5,137.6,1052.91,0.42
t48,120.1,140.3,1063.51,0.42
t49,123.1,142.5,1078.22,0.33
t50,122.9,144.7,1092.28,0.33
t51,123.1,147.3,1096.74,0.33
t52,123.2,148.9,1107.72,0.33
t53,124.1,151.1,1118.27,0.25
t54,124.8,152.9,1122.73,0.25
t55,125,153.9,1140.85,0.25
t56,124.6,155.7,1151.91,0.25
t57,124.3,156.6,1161.25,0.21
t58,124.1,157.7,1182.64,0.21
t59,123.4,157.9,1195.76,0.21
t60,123.5,158.4,1209.01,0.21
t61,123.4,157.9,1221.06,0.11
t62,123.4,158.8,1228.55,0.11
t63,123.2,159.6,1237.86,0.11
t64,122.8,160.1,1256.43,0.11
t65,123.1,160,1264.95,0.23
t66,123.1,161.2,1271.59,0.23
t67,122.4,162.3,1280.57,0.23
t68,121.4,163,1284.54,0.23
t69,118.3,163.2,1290.72,0
t70,120.8,162.8,1287.69,0
t71,121.1,161.9,1288.24,0
t72,120.5,161.4,1282.99,0
t73,120.3,159.8,1276.71,0
t74,120.3,157.7,1269.8,0
t75,119.4,155.9,1255.92,0
t76,118.5,153.3,1244.05,0
t77,119.2,151.7,1227.93,0
t78,120.4,150.4,1214.69,0
t79,123.9,149.4,1205.54,0
t80,123.8,147.6,1198.49,0
t81,125.5,146.1,1186.37,0
t82,125.7,144.3,1165.13,0
t83,125.4,141.4,1138.47,0
t84,125.3,139.2,1119.27,0
t85,124.4,136.4,1093.62,0
t86,124.9,133.7,1063.68,0
t87,123.9,130.9,1038.42,0
t88,123.6,127.9,1012.77,0
t89,123.1,125.2,986.31,0
t90,123.6,122.7,968.07,0
t91,123.2,119.5,946.61,0
t92,122.1,117.5,918.78,0
t93,120.8,115.3,905.68,0
t94,120.4,113.5,880.89,0
t95,120.6,111.4,864.23,0
t96,120.4,109.5,847.87,0
t97,120.7,107.9,830.58,0
t98,120.6,106.1,816.9,0
t99,120.5,104.6,804.05,0
t100,120.6,103.4,792.75,0
t101,120.6,101.7,782.94,0
t102,120.1,100.6,772.32,0
t103,119.3,99.5,766.86,0
t104,118.8,98.2,762.2,0
t105,118.9,97.2,756.47,0
t106,119.3,97,750.7,0
t107,119.5,96.3,744.15,0
t108,119.7,95.3,743.68,0
t109,120.3,95.4,742.55,0
t110,120.7,95,735.79,0
t111,120.7,94.3,739.92,0
t112,120.7,94.5,739.31,0
